Fecha,Referencia,Unidades,Ventas
2017-01-09,Melo  OR,365.3680007457733,806.8400011062622
2017-01-09,Cerveza tercio,1446.0,914.3999956846237
2017-01-09,Naranja en cajas,1160.8280001580715,2053.030003130436
2017-01-09,Tomate jugoso al peso,809.5149982273579,2420.680000960827
2017-01-09,Pack de plátanos,1922.925998765044,4047.1199765708297
2017-01-09,Mandarina,2636.5010002478957,5245.839997604489
2017-01-09,Aceite de oliva virgen extra 5 l,34.0,802.4000129699707
2017-01-10,Cerveza tercio,1497.0,950.9999978542328
2017-01-10,Bolsa naranjas 2Kg.,1091.0,2163.890008687973
2017-01-10,Baguetes 2 unidades,4262.0,3886.6199330091476
2017-01-10,Sepia,103.0999998152256,1330.0399994850159
2017-01-10,Naranja en cajas,1085.318999916315,1923.22000426054
